구분,총인구(계),총인구(남),총인구(여),내국인(계),내국인(남),내국인(여),외국인(계),외국인(남),외국인(여),19세이상(내국)계,19세이상(내국)남 ,19세이상(내국)여,65세이상(내국)계,65세이상(내국)남,65세이상(내국)여,세대(내국인)
주덕읍,10918,5849,5069,10129,5227,4902,789,622,167,8911,4583,4328,2292,1046,1246,5209
살미면,1895,973,922,1864,952,912,31,21,10,1796,916,880,997,489,508,1058
수안보면,2756,1377,1379,2716,1364,1352,40,13,27,2608,1311,1297,1349,608,741,1616
대소원면,10585,6195,4390,9602,5528,4074,983,667,316,8642,5010,3632,2056,994,1062,5930
신니면,2977,1593,1384,2635,1364,1271,342,229,113,2566,1332,1234,1405,654,751,1562
노은면,2201,1144,1057,2128,1090,1038,73,54,19,2058,1046,1012,1194,557,637,1227
앙성면,3829,2002,1827,3742,1942,1800,87,60,27,3625,1868,1757,1905,911,994,2273
중앙탑면,14690,7621,7069,14417,7446,6971,273,175,98,11175,5819,5356,1823,832,991,6420
금가면,3902,2179,1723,3784,2081,1703,118,98,20,3377,1886,1491,1013,464,549,1946
동량면,3441,1807,1634,3350,1736,1614,91,71,20,3166,1641,1525,1616,766,850,1845
산척면,2246,1199,1047,2154,1119,1035,92,80,12,2078,1076,1002,1102,527,575,1253
엄정면,3033,1576,1457,2919,1490,1429,114,86,28,2781,1401,1380,1540,715,825,1642
소태면,1882,987,895,1820,949,871,62,38,24,1728,900,828,981,486,495,1037
성내충인동,2477,1221,1256,2392,1179,1213,85,42,43,2195,1091,1104,959,399,560,1444
교현안림동,21747,10705,11042,21532,10617,10915,215,88,127,18580,9111,9469,5342,2293,3049,10025
교현2동,6282,3120,3162,5983,2959,3024,299,161,138,5465,2705,2760,2075,877,1198,3430
용산동,13740,6709,7031,13641,6671,6970,99,38,61,11377,5493,5884,2677,1157,1520,6018
지현동,4795,2378,2417,4736,2358,2378,59,20,39,4253,2099,2154,1545,672,873,2436
문화동,8761,4417,4344,8524,4285,4239,237,132,105,7870,3954,3916,3140,1401,1739,4556
호암직동,22039,10970,11069,21939,10935,11004,100,35,65,17431,8609,8822,2791,1224,1567,9633
달천동,4952,2698,2254,4042,2146,1896,910,552,358,3900,2067,1833,1387,663,724,2712
봉방동,9352,4873,4479,9005,4683,4322,347,190,157,8084,4207,3877,2420,1086,1334,4896
칠금금릉동,13531,6618,6913,13294,6518,6776,237,100,137,11426,5575,5851,2795,1187,1608,6250
연수동,34543,17099,17444,34130,16905,17225,413,194,219,29664,14618,15046,7479,3239,4240,17223
목행용탄동,6516,3597,2919,6062,3189,2873,454,408,46,5203,2741,2462,1245,572,673,2829
